search_word,username,userid,location,tweet
Greenland,Ankitsingh00099,901314899153797120,"Gwalior, India","""Greenland’s Three Largest Glaciers Retreating Ice Faster than Expected""  https://t.co/DDLaEHRJDb"
Greenland,Diptang01274703,1252610580038418433,🚩 Hindutva Matters 🚩,"""Greenland’s Three Largest Glaciers Retreating Ice Faster than Expected""  https://t.co/s7dNMWAUBe"
Greenland,Greenland_Ruby,832531061598978048,Greenland,"Now you can be certain of the location and the journey your gem took to be set in your beautiful jewelry. Our unique, singular origin, and Greenlandic fingerprint, enables gem labs to identify every stone from our mine​​. https://t.co/Dh9nHO5PLU"
Greenland,MacSlon,2948962139,,Now Playing: Greenland Whalefishers - Olivias Dropout / check: https://t.co/VHHbFtmRD2
Greenland,nascar_oz,160998941,winslow ar.,"Greenland: The ""Giants"" International - Reports of 9' Living Giants Visi... https://t.co/sDIKSirq2j via @YouTube"
Greenland,danielferra58,2274913668,,"@Nick_Mosby @fraserfor15 @mdhousedems ALLOW RESIDENCE TO SELL THEIR SOLAR BATTERIES AND ELECTRICAL VEHICLE POWER TO THE UTILITY aka FEED IN TARIFF 
https://t.co/6KqZ7ZZmjs 

SOLAR + ELECTRIC VEHICLE + AC UNIT = SAVED LIFE WHEN GRID IS DOWN

BAN FRACKING
https://t.co/Q3ShFKIs2j

Greenland and Antarctica Collapsing"
Greenland,DuncanDaHusky,16938374,Illinois,"This is cool as hell! I learned about several breeds I hadn't heard of before, too (like Siberian huskies are most closely related to Greenland sledge dogs). Also, chinooks look like awesome dogs. https://t.co/wvdn3nPJXD"
Greenland,NONONODamnIt,1220167817082748928,"Springfield, IL",Jesus somebody let @realDonaldTrump buy Greenland. God trump and his worshipers exiled to that locale.
Greenland,FaradayGiles,1271861605681238018,,"@TheHouseLive @WaterUK I agree, lowest ever temperature recorded in Greenland and snow in New South Wales - strange times indeed !"
Gurubrahma,IC_Shetty,2561069126,,"Date; 19.11.2020 THURSDAY
Rahukaala: 1.30Pm to 3Pm.
GulikaKala..09Am to 10.30Am

Good Morning 👏
May Goddess Durgama n
Gurubrahma Grace us all happiness, Success n Good Health👃🏻

 KEEP SAFE DISTANCE from OTHERS👍

Yours 
IC. SHETTY"
